年_Year,總計_Total,國中及以下_合計_Junior_high_and_below_Total,高中職_合計_Senior_high_and_vocational_Total,高中職_高中_小計_Senior_high_and_vocational_Senior_high_Total,高中職_高職_小計_Senior_high_and_vocational_Vocational_Total,大專及以上_合計_Junior_college_and_above_Total,大專及以上_專科_小計_Junior_college_and_above_Junior_college_Total,大專及以上_大學_小計_Junior_college_and_above_University_Total,大專及以上_研究所_小計_Junior_college_and_above_Graduate_school_Total
 1978,10784,7931,1989,833,1156,865,408,456,0
 1979,11092,8002,2153,875,1278,936,438,499,0
 1980,11378,7906,2384,968,1416,1087,525,563,0
 1981,11698,8030,2522,998,1525,1145,563,582,0
 1982,12013,8078,2732,1040,1692,1203,600,602,0
 1983,12263,8072,2907,1037,1870,1284,646,637,0
 1984,12544,8091,3074,1074,2001,1379,698,680,0
 1985,12860,8153,3255,1101,2154,1452,754,697,0
 1986,13161,8150,3467,1143,2324,1544,800,744,0
 1987,13432,8099,3649,1180,2470,1683,877,806,0
 1988,13696,8045,3843,1243,2600,1808,950,858,0
 1989,13955,8018,4019,1292,2727,1917,1013,904,0
 1990,14219,7939,4193,1385,2808,2087,1109,977,0
 1991,14496,8012,4334,1453,2881,2150,1162,988,0
 1992,14771,7936,4513,1461,3052,2322,1262,1060,0
 1993,15087,7806,4740,1489,3251,2541,1368,1173,0
 1994,15401,7856,4893,1501,3392,2653,1439,1213,0
 1995,15687,7826,5034,1500,3534,2827,1522,1305,0
 1996,15932,7658,5221,1532,3689,3053,1654,1400,0
 1997,16170,7647,5250,1586,3664,3273,1756,1518,0
 1998,16448,7542,5425,1671,3754,3481,1855,1626,0
 1999,16687,7375,5586,1708,3878,3726,1974,1752,0
 2000,16963,7328,5687,1746,3941,3948,2070,1878,0
