按年月別分_Year_and_month,總計_Total,國中及以下_合計_Junior_high_and_below_Total,高中職_合計_Senior_high_and_vocational_Total,高中職_高中_小計_Senior_high_and_vocational_Senior_high_Total,高中職_高職_小計_Senior_high_and_vocational_Vocational_Total,大專及以上_合計_Junior_college_and_above_Total,大專及以上_專科_小計_Junior_college_and_above_Junior_college_Total,大專及以上_大學_小計_Junior_college_and_above_University_Total,大專及以上_研究所_小計_Junior_college_and_above_Graduate_school_Total
 2001,17179,7178,5788,1790,3999,4213,2167,2047,0
 2002,17387,6987,5880,1825,4055,4520,2232,2288,0
 2003,17572,6837,5924,1829,4095,4811,2272,2538,0
 2004,17760,6702,5954,1827,4127,5104,2305,2798,0
 2005,17949,6573,5951,1814,4137,5424,2332,3093,0
 2006,18166,6455,5977,1818,4158,5735,2349,3386,0
 2007,18392,6334,6013,1829,4184,6045,2363,3683,0
 2008,18623,6205,6023,1821,4202,6394,2388,4006,0
 2009,18855,6096,6047,1832,4215,6712,2415,4297,0
 2010,19062,5960,6096,1862,4233,7006,2445,4562,0
 2011,19253,5829,6131,1892,4239,7293,2462,3889,943
 2012,19436,5699,6158,1920,4238,7578,2478,4091,1009
 2013,19587,5560,6177,1945,4232,7850,2489,4287,1073
