按年月別分_Year_and_month,總計_Total,國中及以下_合計_Junior_high_and_below_Total,高中職_合計_Senior_high_and_vocational_Total,高中職_高中_小計_Senior_high_and_vocational_Senior_high_Total,高中職_高職_小計_Senior_high_and_vocational_Vocational_Total,大專及以上_合計_Junior_college_and_above_Total,大專及以上_專科_小計_Junior_college_and_above_Junior_college_Total,大專及以上_大學_小計_Junior_college_and_above_University_Total,大專及以上_研究所_小計_Junior_college_and_above_Graduate_school_Total
 1978,10784,7931,1989,833,1156,865,408,456,0
 1979,11092,8002,2153,875,1278,936,438,499,0
 1980,11378,7906,2384,968,1416,1087,525,563,0
 1981,11698,8030,2522,998,1525,1145,563,582,0
 1982,12013,8078,2732,1040,1692,1203,600,602,0
 1983,12263,8072,2907,1037,1870,1284,646,637,0
 1984,12544,8091,3074,1074,2001,1379,698,680,0
 1985,12860,8153,3255,1101,2154,1452,754,697,0
 1986,13161,8150,3467,1143,2324,1544,800,744,0
 1987,13432,8099,3649,1180,2470,1683,877,806,0
 1988,13696,8045,3843,1243,2600,1808,950,858,0
 1989,13955,8018,4019,1292,2727,1917,1013,904,0
 1990,14219,7939,4193,1385,2808,2087,1109,977,0
 1991,14496,8012,4334,1453,2881,2150,1162,988,0
 1992,14771,7936,4513,1461,3052,2322,1262,1060,0
 1993,15087,7806,4740,1489,3251,2541,1368,1173,0
 1994,15401,7856,4893,1501,3392,2653,1439,1213,0
 1995,15687,7826,5034,1500,3534,2827,1522,1305,0
 1996,15932,7658,5221,1532,3689,3053,1654,1400,0
 1997,16170,7647,5250,1586,3664,3273,1756,1518,0
 1998,16448,7542,5425,1671,3754,3481,1855,1626,0
 1999,16687,7375,5586,1708,3878,3726,1974,1752,0
 2000,16963,7328,5687,1746,3941,3948,2070,1878,0
 2001,17179,7178,5788,1790,3999,4213,2167,2047,0
 2002,17387,6987,5880,1825,4055,4520,2232,2288,0
 2003,17572,6837,5924,1829,4095,4811,2272,2538,0
 2004,17760,6702,5954,1827,4127,5104,2305,2798,0
 2005,17949,6573,5951,1814,4137,5424,2332,3093,0
 2006,18166,6455,5977,1818,4158,5735,2349,3386,0
 2007,18392,6334,6013,1829,4184,6045,2363,3683,0
 2008,18623,6205,6023,1821,4202,6394,2388,4006,0
 2009,18855,6096,6047,1832,4215,6712,2415,4297,0
 2010,19062,5960,6096,1862,4233,7006,2445,4562,0
 2011,19253,5829,6131,1892,4239,7293,2462,3889,943
 2012,19436,5699,6158,1920,4238,7578,2478,4091,1009
 2013,19587,5560,6177,1945,4232,7850,2489,4287,1073
 2014,19705,5408,6183,1962,4222,8113,2500,4481,1133
 2015,19842,5276,6188,1969,4219,8378,2507,4676,1195
 2016,19962,5134,6184,1965,4219,8644,2505,4878,1261
 2017,20049,4974,6167,1959,4208,8909,2506,5076,1327
 2018,20129,4817,6146,1954,4192,9165,2510,5264,1392
 2019,20189,4664,6119,1947,4173,9405,2504,5440,1461
