按年月別分_Year_and_month,總計_Total,男_Male,女_Female,國中及以下_合計_Junior_high_and_below_Total,國中及以下_男_Junior_high_and_below_Male,國中及以下_女_Junior_high_and_below_Female,國中及以下_國小及以下_小計_Junior_high_and_below_Primary_school_and_below_Total,國中及以下_國小及以下_男_Junior_high_and_below_Primary_school_and_below_Male,國中及以下_國小及以下_女_Junior_high_and_below_Primary_school_and_below_Female,國中及以下_國中_小計_Junior_high_and_below_Junior_high_Total,國中及以下_國中_男_Junior_high_and_below_Junior_high_Male,國中及以下_國中_女_Junior_high_and_below_Junior_high_Female,高中職_合計_Senior_high_and_vocational_Total,高中職_男_Senior_high_and_vocational_Male,高中職_女_Senior_high_and_vocational_Female,高中職_高中_小計_Senior_high_and_vocational_Senior_high_Total,高中職_高中_男_Senior_high_and_vocational_Senior_high_Male,高中職_高中_女_Senior_high_and_vocational_Senior_high_Female,高中職_高職_小計_Senior_high_and_vocational_Vocational_Total,高中職_高職_男_Senior_high_and_vocational_Vocational_Male,高中職_高職_女_Senior_high_and_vocational_Vocational_Female,大專及以上_合計_Junior_college_and_above_Total,大專及以上_男_Junior_college_and_above_Male,大專及以上_女_Junior_college_and_above_Female,大專及以上_專科_小計_Junior_college_and_above_Junior_college_Total,大專及以上_專科_男_Junior_college_and_above_Junior_college_Male,大專及以上_專科_女_Junior_college_and_above_Junior_college_Female,大專及以上_大學_小計_Junior_college_and_above_University_Total,大專及以上_大學_男_Junior_college_and_above_University_Male,大專及以上_大學_女_Junior_college_and_above_University_Female,大專及以上_研究所_小計_Junior_college_and_above_Graduate_school_Total,大專及以上_研究所_男_Junior_college_and_above_Graduate_school_Male,大專及以上_研究所_女_Junior_college_and_above_Graduate_school_Female
"６７年平均 Ave., 1978",10784,5452,5333,7931,3773,4158,6291,2815,3476,1640,958,682,1989,1112,877,833,499,334,1156,612,543,865,566,298,408,252,157,456,315,142,-,-,-
"６８年平均 Ave., 1979",11092,5588,5504,8002,3792,4210,6248,2785,3463,1754,1007,747,2153,1187,966,875,521,355,1278,666,611,936,608,328,438,271,167,499,337,161,-,-,-
"６９年平均 Ave., 1980",11378,5714,5664,7906,3728,4178,6081,2692,3389,1825,1035,789,2384,1285,1099,968,567,401,1416,718,698,1087,700,387,525,321,204,563,380,183,-,-,-
"７０年平均 Ave., 1981",11698,5864,5833,8030,3786,4244,6093,2691,3401,1938,1095,843,2522,1353,1170,998,582,415,1525,771,754,1145,725,419,563,337,226,582,388,193,-,-,-
"７１年平均 Ave., 1982",12013,6022,5990,8078,3812,4266,6082,2689,3394,1996,1123,872,2732,1449,1283,1040,594,446,1692,855,837,1203,762,441,600,359,241,602,403,200,-,-,-
"７２年平均 Ave., 1983",12263,6137,6126,8072,3805,4267,6020,2654,3366,2052,1151,901,2907,1529,1378,1037,593,444,1870,936,935,1284,803,480,646,381,265,637,422,216,-,-,-
"７３年平均 Ave., 1984",12544,6277,6267,8091,3813,4278,5955,2613,3342,2136,1200,936,3074,1604,1470,1074,614,459,2001,990,1011,1379,860,518,698,415,284,680,445,235,-,-,-
"７４年平均 Ave., 1985",12860,6440,6420,8153,3850,4304,5924,2602,3322,2229,1248,981,3255,1690,1565,1101,627,474,2154,1063,1091,1452,901,551,754,445,309,697,456,242,-,-,-
"７５年平均 Ave., 1986",13161,6596,6565,8150,3861,4289,5856,2576,3280,2294,1285,1009,3467,1779,1687,1143,642,500,2324,1137,1187,1544,955,588,800,474,326,744,481,263,-,-,-
"７６年平均 Ave., 1987",13432,6732,6700,8099,3841,4258,5770,2528,3242,2330,1313,1016,3649,1871,1779,1180,663,517,2470,1208,1262,1683,1020,663,877,508,369,806,512,294,-,-,-
"７７年平均 Ave., 1988",13696,6856,6840,8045,3804,4241,5669,2467,3202,2376,1337,1039,3843,1961,1882,1243,699,544,2600,1262,1338,1808,1090,718,950,550,401,858,541,317,-,-,-
"７８年平均 Ave., 1989",13955,6989,6966,8018,3793,4225,5576,2424,3152,2442,1369,1073,4019,2042,1977,1292,720,572,2727,1322,1405,1917,1154,763,1013,584,429,904,570,334,-,-,-
"７９年平均 Ave., 1990",14219,7116,7102,7939,3742,4197,5444,2345,3099,2495,1397,1098,4193,2128,2065,1385,762,623,2808,1366,1442,2087,1247,840,1109,637,473,977,610,367,-,-,-
"８０年平均 Ave., 1991",14496,7256,7240,8012,3787,4225,5425,2326,3099,2587,1460,1126,4334,2195,2139,1453,801,652,2881,1394,1487,2150,1274,876,1162,663,499,988,611,377,-,-,-
"８１年平均 Ave., 1992",14771,7401,7370,7936,3758,4178,5272,2255,3017,2664,1503,1161,4513,2276,2237,1461,801,659,3052,1475,1578,2322,1367,955,1262,719,543,1060,648,412,-,-,-
"８２年平均 Ave., 1993",15087,7564,7522,7806,3686,4120,5134,2180,2954,2672,1506,1166,4740,2394,2346,1489,817,672,3251,1577,1674,2541,1484,1057,1368,772,596,1173,712,461,-,-,-
"８３年平均 Ave., 1994",15401,7724,7677,7856,3721,4135,5122,2175,2947,2734,1546,1187,4893,2465,2427,1501,817,684,3392,1648,1743,2653,1538,1115,1439,804,635,1213,734,479,-,-,-
"８４年平均 Ave., 1995",15687,7856,7832,7826,3715,4111,5047,2140,2907,2779,1575,1203,5034,2535,2499,1500,821,679,3534,1714,1820,2827,1605,1222,1522,830,693,1305,776,530,-,-,-
"８５年平均 Ave., 1996",15932,7960,7972,7658,3619,4038,4896,2065,2831,2761,1554,1207,5221,2638,2583,1532,840,692,3689,1798,1891,3053,1703,1351,1654,885,769,1400,818,582,-,-,-
"８６年平均 Ave., 1997",16170,8062,8109,7647,3613,4034,4820,2040,2780,2827,1572,1254,5250,2639,2611,1586,863,723,3664,1776,1888,3273,1810,1463,1756,937,819,1518,873,644,-,-,-
"８７年平均 Ave., 1998",16448,8188,8260,7542,3573,3968,4721,1996,2726,2820,1577,1243,5425,2717,2708,1671,910,762,3754,1807,1947,3481,1898,1583,1855,976,879,1626,922,704,-,-,-
"８８年平均 Ave., 1999",16687,8311,8376,7375,3485,3890,4509,1887,2622,2866,1598,1268,5586,2796,2790,1708,930,778,3878,1865,2013,3726,2030,1696,1974,1035,939,1752,996,757,-,-,-
"８９年平均 Ave., 2000",16963,8452,8511,7328,3461,3867,4447,1849,2598,2881,1612,1269,5687,2844,2843,1746,950,796,3941,1894,2047,3948,2147,1800,2070,1082,988,1878,1065,812,-,-,-
"９０年平均 Ave., 2001",17179,8551,8628,7178,3388,3789,4380,1811,2570,2797,1578,1219,5788,2884,2904,1790,974,815,3999,1910,2088,4213,2278,1935,2167,1124,1043,2047,1154,892,-,-,-
