按年月別分_Year_and_month,總計_Total,男_Male,女_Female,國中及以下_合計_Junior_high_and_below_Total,國中及以下_男_Junior_high_and_below_Male,國中及以下_女_Junior_high_and_below_Female,國中及以下_國小及以下_小計_Junior_high_and_below_Primary_school_and_below_Total,國中及以下_國小及以下_男_Junior_high_and_below_Primary_school_and_below_Male,國中及以下_國小及以下_女_Junior_high_and_below_Primary_school_and_below_Female,國中及以下_國中_小計_Junior_high_and_below_Junior_high_Total,國中及以下_國中_男_Junior_high_and_below_Junior_high_Male,國中及以下_國中_女_Junior_high_and_below_Junior_high_Female,高中職_合計_Senior_high_and_vocational_Total,高中職_男_Senior_high_and_vocational_Male,高中職_女_Senior_high_and_vocational_Female,高中職_高中_小計_Senior_high_and_vocational_Senior_high_Total,高中職_高中_男_Senior_high_and_vocational_Senior_high_Male,高中職_高中_女_Senior_high_and_vocational_Senior_high_Female,高中職_高職_小計_Senior_high_and_vocational_Vocational_Total,高中職_高職_男_Senior_high_and_vocational_Vocational_Male,高中職_高職_女_Senior_high_and_vocational_Vocational_Female,大專及以上_合計_Junior_college_and_above_Total,大專及以上_男_Junior_college_and_above_Male,大專及以上_女_Junior_college_and_above_Female,大專及以上_專科_小計_Junior_college_and_above_Junior_college_Total,大專及以上_專科_男_Junior_college_and_above_Junior_college_Male,大專及以上_專科_女_Junior_college_and_above_Junior_college_Female,大專及以上_大學_小計_Junior_college_and_above_University_Total,大專及以上_大學_男_Junior_college_and_above_University_Male,大專及以上_大學_女_Junior_college_and_above_University_Female,大專及以上_研究所_小計_Junior_college_and_above_Graduate_school_Total,大專及以上_研究所_男_Junior_college_and_above_Graduate_school_Male,大專及以上_研究所_女_Junior_college_and_above_Graduate_school_Female
"６７年平均 Ave., 1978",6231,4183,2048,4660,3130,1529,3578,2378,1201,1081,753,329,1041,677,364,380,277,103,661,400,261,530,376,155,265,176,89,265,199,66,-,-,-
"６８年平均 Ave., 1979",6432,4306,2126,4699,3151,1548,3518,2338,1180,1181,812,369,1157,746,411,408,297,110,749,449,300,576,409,167,289,195,94,287,213,73,-,-,-
"６９年平均 Ave., 1980",6547,4357,2191,4588,3064,1523,3359,2224,1136,1228,841,387,1279,810,469,449,323,126,829,487,342,681,483,199,350,235,115,331,248,83,-,-,-
"７０年平均 Ave., 1981",6672,4448,2224,4589,3078,1510,3308,2201,1106,1281,877,404,1358,863,494,475,343,132,883,521,362,726,506,219,376,248,128,350,258,92,-,-,-
"７１年平均 Ave., 1982",6811,4509,2301,4587,3064,1523,3269,2159,1110,1318,905,413,1465,919,546,492,348,144,973,571,402,758,526,232,399,262,137,360,265,95,-,-,-
"７２年平均 Ave., 1983",7070,4561,2509,4672,3031,1641,3305,2099,1206,1367,932,436,1584,978,606,495,350,145,1089,628,461,814,552,262,427,273,153,387,279,108,-,-,-
"７３年平均 Ave., 1984",7308,4661,2647,4715,3019,1696,3293,2049,1244,1422,970,453,1711,1045,666,523,365,158,1188,680,508,882,597,285,469,302,167,413,295,118,-,-,-
"７４年平均 Ave., 1985",7428,4719,2709,4703,3002,1702,3228,1998,1230,1475,1003,472,1797,1095,702,533,367,165,1264,727,536,928,623,305,510,327,183,419,296,122,-,-,-
"７５年平均 Ave., 1986",7733,4821,2912,4762,2986,1776,3221,1949,1273,1540,1037,503,1971,1169,802,560,375,185,1411,794,617,1001,666,334,548,352,196,452,314,138,-,-,-
"７６年平均 Ave., 1987",8022,4966,3057,4779,2992,1787,3189,1913,1277,1590,1079,511,2134,1255,879,592,396,196,1542,859,683,1109,718,391,614,382,231,495,336,160,-,-,-
"７７年平均 Ave., 1988",8107,5043,3064,4655,2944,1711,3047,1844,1203,1608,1099,508,2260,1328,932,636,424,212,1624,904,719,1193,771,422,661,411,250,532,361,172,-,-,-
"７８年平均 Ave., 1989",8258,5149,3110,4603,2921,1682,2957,1795,1162,1646,1126,520,2388,1407,981,662,437,225,1726,970,756,1267,821,447,702,436,266,565,385,181,-,-,-
"７９年平均 Ave., 1990",8283,5175,3108,4456,2842,1614,2807,1700,1107,1649,1142,507,2473,1464,1009,704,459,244,1770,1005,765,1354,869,485,758,472,286,596,397,199,-,-,-
"８０年平均 Ave., 1991",8439,5274,3165,4460,2860,1600,2753,1667,1086,1707,1193,514,2572,1520,1052,745,488,257,1826,1032,795,1407,895,512,798,492,306,609,403,207,-,-,-
"８１年平均 Ave., 1992",8632,5380,3252,4414,2823,1591,2654,1588,1066,1760,1234,525,2691,1588,1103,745,486,258,1946,1102,844,1527,969,558,884,548,336,643,421,223,-,-,-
"８２年平均 Ave., 1993",8745,5422,3323,4265,2725,1540,2516,1493,1023,1750,1232,517,2822,1657,1165,759,492,267,2064,1166,898,1658,1040,618,954,585,369,704,454,250,-,-,-
"８３年平均 Ave., 1994",8939,5511,3428,4262,2720,1542,2458,1453,1005,1804,1267,537,2925,1716,1209,774,497,278,2151,1220,931,1751,1074,677,1019,609,409,732,465,268,-,-,-
"８４年平均 Ave., 1995",9045,5558,3487,4180,2675,1504,2361,1394,967,1819,1281,538,2999,1759,1239,767,493,274,2232,1266,966,1866,1123,744,1066,626,440,800,496,304,-,-,-
"８５年平均 Ave., 1996",9068,5508,3560,3953,2505,1448,2194,1276,918,1759,1229,530,3095,1809,1286,786,502,284,2309,1307,1003,2019,1194,825,1162,672,489,858,522,336,-,-,-
"８６年平均 Ave., 1997",9176,5562,3613,3877,2450,1427,2112,1227,884,1765,1223,543,3110,1819,1291,805,521,285,2304,1298,1007,2189,1293,895,1250,727,523,938,566,373,-,-,-
"８７年平均 Ave., 1998",9289,5610,3679,3762,2397,1366,1985,1159,826,1778,1238,540,3214,1869,1345,854,556,299,2359,1313,1046,2313,1345,969,1308,747,561,1005,597,408,-,-,-
"８８年平均 Ave., 1999",9385,5624,3761,3609,2282,1327,1815,1045,770,1794,1237,557,3317,1920,1397,874,571,303,2443,1349,1094,2459,1422,1037,1394,789,605,1065,633,432,-,-,-
"８９年平均 Ave., 2000",9491,5670,3821,3520,2227,1293,1724,987,737,1797,1241,556,3375,1953,1423,877,573,304,2498,1380,1118,2596,1490,1106,1473,828,645,1123,662,460,-,-,-
"９０年平均 Ave., 2001",9383,5553,3830,3318,2097,1221,1602,918,684,1716,1179,537,3371,1924,1447,859,555,304,2512,1369,1143,2694,1532,1162,1525,848,677,1169,684,485,-,-,-
"９１年平均 Ave., 2002",9454,5547,3907,3179,2001,1178,1532,866,666,1647,1135,512,3424,1937,1487,857,553,304,2567,1384,1183,2851,1610,1242,1581,868,713,1271,742,529,-,-,-
"９２年平均 Ave., 2003",9573,5579,3994,3063,1928,1135,1452,818,634,1611,1110,501,3491,1969,1523,869,549,319,2622,1419,1203,3019,1682,1337,1628,890,738,1391,792,599,-,-,-
