按年月別分_Year_and_month,總計_Total,國中及以下_合計_Junior_high_and_below_Total,高中職_合計_Senior_high_and_vocational_Total,高中職_高中_小計_Senior_high_and_vocational_Senior_high_Total,高中職_高職_小計_Senior_high_and_vocational_Vocational_Total,大專及以上_合計_Junior_college_and_above_Total,大專及以上_專科_小計_Junior_college_and_above_Junior_college_Total,大專及以上_大學_小計_Junior_college_and_above_University_Total,大專及以上_研究所_小計_Junior_college_and_above_Graduate_school_Total
 1978,6231,4660,1041,380,661,530,265,265,0
 1979,6432,4699,1157,408,749,576,289,287,0
 1980,6547,4588,1279,449,829,681,350,331,0
 1981,6672,4589,1358,475,883,726,376,350,0
 1982,6811,4587,1465,492,973,758,399,360,0
 1983,7070,4672,1584,495,1089,814,427,387,0
 1984,7308,4715,1711,523,1188,882,469,413,0
 1985,7428,4703,1797,533,1264,928,510,419,0
 1986,7733,4762,1971,560,1411,1001,548,452,0
 1987,8022,4779,2134,592,1542,1109,614,495,0
 1988,8107,4655,2260,636,1624,1193,661,532,0
 1989,8258,4603,2388,662,1726,1267,702,565,0
 1990,8283,4456,2473,704,1770,1354,758,596,0
 1991,8439,4460,2572,745,1826,1407,798,609,0
 1992,8632,4414,2691,745,1946,1527,884,643,0
 1993,8745,4265,2822,759,2064,1658,954,704,0
 1994,8939,4262,2925,774,2151,1751,1019,732,0
 1995,9045,4180,2999,767,2232,1866,1066,800,0
 1996,9068,3953,3095,786,2309,2019,1162,858,0
 1997,9176,3877,3110,805,2304,2189,1250,938,0
 1998,9289,3762,3214,854,2359,2313,1308,1005,0
 1999,9385,3609,3317,874,2443,2459,1394,1065,0
 2000,9491,3520,3375,877,2498,2596,1473,1123,0
 2001,9383,3318,3371,859,2512,2694,1525,1169,0
 2002,9454,3179,3424,857,2567,2851,1581,1271,0
 2003,9573,3063,3491,869,2622,3019,1628,1391,0
 2004,9786,2975,3592,883,2709,3220,1677,1542,0
 2005,9942,2880,3605,873,2732,3458,1724,1733,0
 2006,10111,2770,3631,865,2766,3711,1759,1951,0
 2007,10294,2689,3680,886,2794,3925,1764,2161,0
 2008,10403,2560,3667,881,2786,4176,1787,2389,0
 2009,10279,2392,3551,859,2692,4336,1767,2568,0
 2010,10493,2361,3583,871,2712,4549,1798,2752,0
 2011,10709,2312,3645,894,2751,4752,1814,2286,652
 2012,10860,2268,3674,910,2764,4917,1812,2412,694
 2013,10967,2226,3661,908,2753,5080,1807,2538,735
 2014,11079,2124,3675,928,2747,5280,1805,2679,796
 2015,11198,2061,3692,946,2746,5445,1805,2800,841
 2016,11267,2009,3688,951,2737,5571,1801,2900,870
 2017,11352,1959,3694,953,2742,5698,1806,2989,904
 2018,11434,1913,3706,958,2749,5814,1815,3067,932
 2019,11500,1852,3713,959,2754,5936,1816,3150,970
